Part description,Parameters,UoM,Quantity,Notes,Link 1,Link 2,Link 3
Autokit relay,v1.1.2,pcs,1,,https://github.com/balena-io-hardware/autokit-relay-3d/tree/v1.1.2,,
USB-SD-Mux,,pcs,1,,https://shop.linux-automation.com/usb_sd_mux-D02-R01-V02-C00-en,,
"Ethernet LAN network adapter, USB 2.0, 10/100 Mbps",,pcs,1,,https://www.amazon.de/AmazonBasics-Ethernet-LAN-Netzwerkadapter-USB-1-000-Mbit-Schwarz/dp/B00M77HMU0?th=1,https://www.amazon.de/AmazonBasics-Ethernet-LAN-Netzwerkadapter-USB-1-000-Mbit-Schwarz/dp/B00M77HLII?th=1,https://www.amazon.de/-/en/Ethernet-Adapter-1000Mbps-Aluminum-Network-gray/dp/B087QFQW6F/ref=sr_1_6?crid=2GBTKP36W6TEI&keywords=usb-ethernet-adapter&qid=1671182685&s=ce-de&sprefix=usb+ethernet+adapter%2Celectronics%2C76&sr=1-6
7 Port USB Splitter with Extended 100 cm Cable,,pcs,1,,https://www.amazon.de/Splitter-Extended-Compatible-MacBook-Surface-black/dp/B08Z7LNK5J/ref=sr_1_37_sspa?crid=WOERM1D6CYMF&keywords=7+port+usb+hub&qid=1671182758&s=ce-de&sprefix=7+port+usb+hub%2Celectronics%2C78&sr=1-37-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,https://www.amazon.de/-/en/TP-LINK-UH700-TP-Link-USB-7-Port/dp/B00LI4O9EA/ref=sr_1_5?crid=1JRCP8H1CLC5N&keywords=7+port+usb+hub&qid=1671182822&s=ce-de&sprefix=7+port+usb+hub%2Celectronics%2C82&sr=1-5,
USB 2.0 A Male to Micro B Male Cable - 0.9m,,pcs,1,,https://www.amazon.de/Amazon-Basics-80P4V4-Micro-Cable/dp/B07232M876/ref=sr_1_1_sspa?crid=U3DDKCGYMOZZ&keywords=Micro%2BUSB%2BKabel&qid=1671182853&s=ce-de&sprefix=micro%2Busb%2Bcable%2Celectronics%2C78&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,
USB 2.0 A to B Cable with Gold Plated Connectors 3m,,pcs,1,,https://www.amazon.de/-/en/Amazon-Basics-Plated-Connectors-Metres/dp/B00NH13DV2/ref=sr_1_3?crid=HIFKWMIQU9L2&keywords=usb+b+kabel&qid=1671182887&s=ce-de&sprefix=usb+b+cable%2Celectronics%2C80&sr=1-3,https://www.amazon.de/-/en/Printer-Scanner-Compatible-Lexmark-Brother/dp/B08YDJ9N6W/ref=sr_1_4?crid=HIFKWMIQU9L2&keywords=usb%2Bb%2Bkabel&qid=1671182905&s=ce-de&sprefix=usb%2Bb%2Bcable%2Celectronics%2C80&sr=1-4&th=1,
Power Cable IEC 320 C14 Plug Adapter for Converting Europe CEE7 / 7 Schuko Socket,,pcs,2,,https://www.amazon.de/-/en/adapter-InLine%C2%AE-Devices-Schuko-Socket/dp/B07XFG5LBR/ref=sr_1_3?crid=2BBDFMPRIXFI&keywords=c14%2Bauf%2Bschuko&qid=1671182962&s=ce-de&sprefix=c14%2Bto%2Bshucko%2Celectronics%2C66&sr=1-3&th=1,https://www.amazon.de/-/en/UPS-Adapter-contact-adapter-adapter/dp/B00LMFTT2M/ref=sr_1_6?crid=2BBDFMPRIXFI&keywords=c14+auf+schuko&qid=1671182991&s=ce-de&sprefix=c14+to+shucko%2Celectronics%2C66&sr=1-6,
Power Cable Protective Contact Plug Type F - black - 1m,,pcs,1,,https://www.amazon.de/-/en/Hardware%C2%AE-protective-contact-computer-projector/dp/B06XG6Z7NL/ref=sr_1_4?crid=17YP2SIS6CXYD&keywords=c13%2Bauf%2Bnetzteil&qid=1671183098&s=ce-de&sprefix=c13%2Bto%2Bmains%2Celectronics%2C68&sr=1-4&th=1,,
Skadis elastic cords,,,1,,https://www.ikea.gr/en/products/small-storage-organisers/storage-system-skadis/storage-units-parts-skadis/skadis-elastic-cord/40321631,,
Velcro Cable Ties - 100pcs,,,1,,https://www.amazon.de/-/en/VoJoPi-Resealable-Material-Self-Adhesive-Fastener/dp/B097H344NT/ref=sr_1_12?crid=3MVO1L8CM4UPK&keywords=klettkabelbinder&qid=1671183176&s=ce-de&sprefix=velcro+cable+ties%2Celectronics%2C62&sr=1-12,,
Skadis board,,pcs,1,,https://www.ikea.gr/en/products/small-storage-organisers/storage-system-skadis/storage-units-parts-skadis/skadis-pegboard-36x56-cm/70347173,,
USB Cables / IEEE 1394 Cables Raspberry Pi USB to TTL Serial UART Cbl,,pcs,1,,https://eu.mouser.com/ProductDetail/FTDI/TTL-232R-3V3?qs=Xb8IjHhkxj627GFcejHp0Q%3D%3D,,
